move_number,move,best_move,evaluation,reply,board,str_reply,accurate
17,e4e5,f1b5,1.04,"[Move.from_uci('e6g4'), Move.from_uci('f1b5'), Move.from_uci('f6e5'), Move.from_uci('d4e5'), Move.from_uci('e7e6'), Move.from_uci('d1d4'), Move.from_uci('h7h5'), Move.from_uci('e1c1'), Move.from_uci('f8e7'), Move.from_uci('d4f4'), Move.from_uci('a5a4'), Move.from_uci('a2a3'), Move.from_uci('a8a5'), Move.from_uci('d1d2'), Move.from_uci('g7g5'), Move.from_uci('f4e3'), Move.from_uci('e8g8'), Move.from_uci('b5c6'), Move.from_uci('b7c6'), Move.from_uci('f3d4'), Move.from_uci('d8e8')]",r2qkb1r/1pp1p1pp/2n1bp2/p2pP3/3P4/2N2NP1/PPP2PP1/R2QKB1R b KQkq - 0 9,"['e6g4', 'f1b5', 'f6e5', 'd4e5', 'e7e6']",False
18,a5a4,e6g4,1.25,"[Move.from_uci('a2a3'), Move.from_uci('e6g4'), Move.from_uci('f1b5'), Move.from_uci('f6e5'), Move.from_uci('c3e2'), Move.from_uci('g4f3'), Move.from_uci('g2f3'), Move.from_uci('e5d4'), Move.from_uci('e2d4'), Move.from_uci('d8d6'), Move.from_uci('f3f4'), Move.from_uci('g7g6'), Move.from_uci('d4c6'), Move.from_uci('b7c6'), Move.from_uci('d1d4'), Move.from_uci('h7h5'), Move.from_uci('d4h8'), Move.from_uci('c6b5'), Move.from_uci('a1d1')]",r2qkb1r/1pp1p1pp/2n1bp2/3pP3/p2P4/2N2NP1/PPP2PP1/R2QKB1R w KQkq - 0 10,"['a2a3', 'e6g4', 'f1b5', 'f6e5', 'c3e2']",False
19,a2a3,a2a3,1.22,"[Move.from_uci('f6e5'), Move.from_uci('d4e5'), Move.from_uci('e6g4'), Move.from_uci('f1b5'), Move.from_uci('e7e6'), Move.from_uci('d1d4'), Move.from_uci('h7h5'), Move.from_uci('e1c1'), Move.from_uci('d8e7'), Move.from_uci('d4d3'), Move.from_uci('e8f7'), Move.from_uci('d1e1'), Move.from_uci('h8h6'), Move.from_uci('c1b1'), Move.from_uci('e7c5')]",r2qkb1r/1pp1p1pp/2n1bp2/3pP3/p2P4/P1N2NP1/1PP2PP1/R2QKB1R b KQkq - 0 10,"['f6e5', 'd4e5', 'e6g4', 'f1b5', 'e7e6']",True
20,h7h5,f6e5,1.86,"[Move.from_uci('f1b5'), Move.from_uci('e6g4'), Move.from_uci('d1d3'), Move.from_uci('e7e6'), Move.from_uci('e5f6'), Move.from_uci('g7f6'), Move.from_uci('f3h4'), Move.from_uci('f8d6'), Move.from_uci('c3e2'), Move.from_uci('g4e2'), Move.from_uci('d3e2'), Move.from_uci('e8d7'), Move.from_uci('e1c1'), Move.from_uci('d8g8'), Move.from_uci('c2c4'), Move.from_uci('g8g4'), Move.from_uci('e2d3'), Move.from_uci('d5c4'), Move.from_uci('d3c4'), Move.from_uci('a8a5')]",r2qkb1r/1pp1p1p1/2n1bp2/3pP2p/p2P4/P1N2NP1/1PP2PP1/R2QKB1R w KQkq - 0 11,"['f1b5', 'e6g4', 'd1d3', 'e7e6', 'e5f6']",False
21,f1b5,f1b5,2.01,"[Move.from_uci('e6g4'), Move.from_uci('d1d3'), Move.from_uci('e7e6'), Move.from_uci('e5f6'), Move.from_uci('g7f6'), Move.from_uci('f3h4'), Move.from_uci('f8d6'), Move.from_uci('c3e2'), Move.from_uci('g4e2'), Move.from_uci('d3e2'), Move.from_uci('e8d7'), Move.from_uci('e1c1'), Move.from_uci('d8g8'), Move.from_uci('h1e1'), Move.from_uci('a8a5'), Move.from_uci('h4f3'), Move.from_uci('h8h6'), Move.from_uci('c1b1'), Move.from_uci('d7c8'), Move.from_uci('b5c6'), Move.from_uci('b7c6'), Move.from_uci('e2e6'), Move.from_uci('g8e6'), Move.from_uci('e1e6'), Move.from_uci('c8d7'), Move.from_uci('e6e3'), Move.from_uci('a5a8'), Move.from_uci('c2c3')]",r2qkb1r/1pp1p1p1/2n1bp2/1B1pP2p/p2P4/P1N2NP1/1PP2PP1/R2QK2R b KQkq - 1 11,"['e6g4', 'd1d3', 'e7e6', 'e5f6', 'g7f6']",True
22,e6d7,e6g4,3.41,"[Move.from_uci('c3d5'), Move.from_uci('c6e5'), Move.from_uci('b5d7'), Move.from_uci('e5d7'), Move.from_uci('d1d3'), Move.from_uci('d7b6'), Move.from_uci('d5f4'), Move.from_uci('d8d7'), Move.from_uci('d3g6'), Move.from_uci('e8d8'), Move.from_uci('d4d5'), Move.from_uci('a8a5'), Move.from_uci('e1c1'), Move.from_uci('d8c8'), Move.from_uci('f3d4'), Move.from_uci('c8b8'), Move.from_uci('h1h5'), Move.from_uci('h8h5'), Move.from_uci('g6h5'), Move.from_uci('b8a7'), Move.from_uci('d4e6'), Move.from_uci('d7b5')]",r2qkb1r/1ppbp1p1/2n2p2/1B1pP2p/p2P4/P1N2NP1/1PP2PP1/R2QK2R w KQkq - 2 12,"['c3d5', 'c6e5', 'b5d7', 'e5d7', 'd1d3']",False
23,b5a4,c3d5,1.88,"[Move.from_uci('e7e6'), Move.from_uci('a4c6'), Move.from_uci('d7c6'), Move.from_uci('c3e2'), Move.from_uci('d8d7'), Move.from_uci('g3g4'), Move.from_uci('d7f7'), Move.from_uci('d1d3'), Move.from_uci('e8c8'), Move.from_uci('e2f4'), Move.from_uci('h8h6'), Move.from_uci('g4h5'), Move.from_uci('f6e5'), Move.from_uci('f4g6'), Move.from_uci('e5d4'), Move.from_uci('f3e5'), Move.from_uci('f7f6'), Move.from_uci('d3d4'), Move.from_uci('c6e8'), Move.from_uci('g6f8')]",r2qkb1r/1ppbp1p1/2n2p2/3pP2p/B2P4/P1N2NP1/1PP2PP1/R2QK2R b KQkq - 0 12,"['e7e6', 'a4c6', 'd7c6', 'c3e2', 'd8d7']",False
24,c6a7,e7e6,2.59,"[Move.from_uci('d1d3'), Move.from_uci('e7e6'), Move.from_uci('d3g6'), Move.from_uci('e8e7'), Move.from_uci('h1h5'), Move.from_uci('h8h5'), Move.from_uci('g6h5'), Move.from_uci('d7a4'), Move.from_uci('c3a4'), Move.from_uci('d8e8'), Move.from_uci('h5e8'), Move.from_uci('e7e8'), Move.from_uci('a4c3'), Move.from_uci('c7c5'), Move.from_uci('e5f6'), Move.from_uci('g7f6'), Move.from_uci('d4c5'), Move.from_uci('f8c5'), Move.from_uci('e1e2'), Move.from_uci('a8c8'), Move.from_uci('a1e1'), Move.from_uci('a7c6')]",r2qkb1r/nppbp1p1/5p2/3pP2p/B2P4/P1N2NP1/1PP2PP1/R2QK2R w KQkq - 1 13,"['d1d3', 'e7e6', 'd3g6', 'e8e7', 'h1h5']",False
25,a4d7,d1d3,2.4,"[Move.from_uci('d8d7'), Move.from_uci('d1e2'), Move.from_uci('e8c8'), Move.from_uci('e1c1'), Move.from_uci('g7g6'), Move.from_uci('c1b1'), Move.from_uci('f8g7'), Move.from_uci('e2d3'), Move.from_uci('d7e8'), Move.from_uci('f3h4'), Move.from_uci('f6e5'), Move.from_uci('d3g6'), Move.from_uci('e5d4'), Move.from_uci('g6g7'), Move.from_uci('d4c3'), Move.from_uci('h4g6'), Move.from_uci('a7b5'), Move.from_uci('h1e1'), Move.from_uci('e7e6'), Move.from_uci('g6h8')]",r2qkb1r/nppBp1p1/5p2/3pP2p/3P4/P1N2NP1/1PP2PP1/R2QK2R b KQkq - 0 13,"['d8d7', 'd1e2', 'e8c8', 'e1c1', 'g7g6']",False
26,d8d7,d8d7,2.31,"[Move.from_uci('d1e2'), Move.from_uci('e8c8'), Move.from_uci('e1c1'), Move.from_uci('g7g6'), Move.from_uci('h1e1'), Move.from_uci('f8g7'), Move.from_uci('f3h4'), Move.from_uci('h8h6'), Move.from_uci('e5e6'), Move.from_uci('d7c6'), Move.from_uci('c1b1'), Move.from_uci('c8b8'), Move.from_uci('e2d3'), Move.from_uci('c6e8'), Move.from_uci('e1e3')]",r3kb1r/nppqp1p1/5p2/3pP2p/3P4/P1N2NP1/1PP2PP1/R2QK2R w KQkq - 0 14,"['d1e2', 'e8c8', 'e1c1', 'g7g6', 'h1e1']",True
